country_name,country_code,pop2021,pop2022,pop2020
Afghanistan,AFG,41128771,42239854,39074280
Albania,ALB,2775634,2832439,2877239
Algeria,DZA,44903225,45606480,43984569
American Samoa,ASM,44273,43914,55169
Andorra,AND,79824,80088,77287
Angola,AGO,35588987,36684202,33032075
Antigua and Barbuda,ATG,93763,94298,98069
Argentina,ARG,46234830,45773884,45267449
Armenia,ARM,2780469,2777970,2964219
Aruba,ABW,106445,106277,106845
Australia,AUS,25978935,26439111,25550683
Austria,AUT,9042528,8958960,9015361
Azerbaijan,AZE,10175016,10412651,10154978
Bahamas,BHS,409984,412623,393893
Bahrain,BHR,1472233,1485509,1711057
Bangladesh,BGD,171186372,172954319,164972348
Barbados,BRB,281635,281995,287437
Belarus,BLR,9208701,9498238,9448772
Belgium,BEL,11669446,11686140,11598451
Belize,BLZ,405272,410825,398845
Benin,BEN,13352864,13712828,12175480
Bermuda,BMU,63532,64069,62237
Bhutan,BTN,782455,787424,773069
Bolivia,BOL,12224110,12388571,11700207
Bosnia and Herzegovina,BIH,3233526,3210847,3277152
Botswana,BWA,2630296,2675352,2359585
Brazil,BRA,215313498,216422446,212821986
Brunei,BRN,449002,452524,438202
Bulgaria,BGR,6465097,6687717,6939018
Burkina Faso,BFA,22673762,23251485,20997293
Burundi,BDI,12889576,13238559,11948454
Cambodia,KHM,16767842,16944826,16758448
Cameroon,CMR,27914536,28647293,26655083
Canada,CAN,38929902,38781291,37799407
Cape Verde,CPV,593149,598682,557026
Cayman Islands,CYM,68706,69310,65854
Central African Republic,CAF,5579144,5742315,4843954
Chad,TCD,17723315,18278568,16502877
Chile,CHL,19603733,19629590,19144605
China,CHN,1412175000,1425671352,1440297825
Colombia,COL,51874024,52085168,50976248
Comoros,COM,836774,852075,872695
Republic of Congo,COG,5970424,6106869,5540555
Costa Rica,CRI,5180829,5212173,5102158
Ivory Coast,CIV,28160542,28873034,26486282
Croatia,HRV,3854000,4008617,4100719
Cuba,CUB,11212191,11194449,11325391
Curacao,CUW,149996,192077,164211
Cyprus,CYP,1251488,1260138,1208886
Czech Republic,CZE,10526073,10495295,10712481
Denmark,DNK,5903037,5910913,5795780
Djibouti,DJI,1120849,1136455,990447
Dominica,DMA,72737,73040,72017
Dominican Republic,DOM,11228821,11332972,10866667
Ecuador,ECU,18001000,18190484,17688599
Egypt,EGY,110990103,112716598,102659126
El Salvador,SLV,6336392,6364943,6491923
Equatorial Guinea,GNQ,1674908,1714671,1410419
Eritrea,ERI,3684032,3748901,3554797
Estonia,EST,1344768,1322765,1326693
Ethiopia,ETH,123379924,126527060,115434444
Faroe Islands,FRO,53090,53270,48896
Fiji,FJI,929766,936375,897573
Finland,FIN,5556880,5545475,5542237
France,FRA,67935660,64756584,65298930
French Guiana,GUF,294071,312155,299958
French Polynesia,PYF,306279,308872,281191
Gabon,GAB,2388992,2436566,2234448
Gambia,GMB,2705992,2773168,2427782
Georgia,GEO,3712502,3728282,3987805
Germany,DEU,84079811,83294633,83830972
Ghana,GHA,33475870,34121985,31181428
Gibraltar,GIB,32649,32688,33689
Greece,GRC,10566531,10341277,10413936
Greenland,GRL,56661,56643,56787
Grenada,GRD,125438,126183,112614
Guam,GUM,171774,172952,169031
Guatemala,GTM,17357886,18092026,17971382
Guinea,GIN,13859341,14190612,13191279
Guinea-Bissau,GNB,2105566,2150842,1975718
Guyana,GUY,808726,813834,787215
Haiti,HTI,11584996,11724763,11426356
Honduras,HND,10432860,10593798,9931333
Hong Kong,HKG,7346100,7491609,7507523
Hungary,HUN,9683505,10156239,9655983
Iceland,ISL,381900,375318,341628
India,IND,1417173173,1428627663,1382345085
Indonesia,IDN,275501339,277534122,274021604
Iran,IRN,88550570,89172767,84176929
Iraq,IRQ,44496122,45504560,40372771
Ireland,IRL,5086988,5056935,4947267
Isle of Man,IMN,84519,84710,85112
Israel,ISR,9550600,9174520,8678517
Italy,ITA,58856847,58870762,60446035
Jamaica,JAM,2827377,2825544,2963429
Japan,JPN,125124989,123294513,126407422
Jordan,JOR,11285869,11337052,10220604
Kazakhstan,KAZ,19621972,19606633,18815231
Kenya,KEN,54027487,55100586,53968739
Kiribati,KIR,131232,133515,119760
North Korea,PRK,26069416,26160821,25798588
South Korea,KOR,51628117,51784059,51276977
Kuwait,KWT,4268873,4310108,4281320
Kyrgyzstan,KGZ,6803300,6735347,6542426
Laos,LAO,7529475,7633779,7293542
Latvia,LVA,1883379,1830211,1882408
Lebanon,LBN,5489739,5353930,6819976
Lesotho,LSO,2305825,2330318,2145194
Liberia,LBR,5302681,5418377,5077411
Libya,LBY,6812341,6888388,6887247
Liechtenstein,LIE,39327,39584,38147
Lithuania,LTU,2833000,2718352,2715340
Luxembourg,LUX,650774,654768,627704
Macao,MAC,695168,704149,650846
North Macedonia,MKD,2057679,2085679,2083359
Madagascar,MDG,29611714,30325732,27808395
Malawi,MWI,20405317,20931751,19211425
Malaysia,MYS,33938221,34308525,32436963
Maldives,MDV,523787,521021,542151
Mali,MLI,22593590,23293698,20346106
Malta,MLT,523417,535064,441750
Marshall Islands,MHL,41569,41996,59259
Mauritania,MRT,4736139,4862989,4669775
Mauritius,MUS,1262523,1300557,1272140
Mexico,MEX,127504125,128455567,129166028
Micronesia,FSM,114164,115224,115231
Moldova,MDA,2592477,3435931,4032294
Monaco,MCO,36469,36297,39290
Mongolia,MNG,3398366,3447157,3287242
Montenegro,MNE,616159,626485,628080
Morocco,MAR,37457971,37840044,36985624
Mozambique,MOZ,32969518,33897354,31398811
Myanmar,MMR,54179306,54577997,54473253
Namibia,NAM,2567012,2604172,2548663
Nauru,NRU,12668,12780,10836
Nepal,NPL,30547580,30896590,29225196
Netherlands,NLD,17703090,17618299,17141544
New Caledonia,NCL,276780,292991,285972
New Zealand,NZL,5124100,5228100,4829021
Nicaragua,NIC,6948392,7046310,6638075
Niger,NER,26207977,27202843,24346468
Nigeria,NGA,218541212,223804632,206984347
Northern Mariana Islands,MNP,49551,49796,57619
Norway,NOR,5457127,5474360,5428594
Oman,OMN,4576298,4644384,5128058
Pakistan,PAK,235824862,240485658,221612785
Palau,PLW,18055,18058,18109
Panama,PAN,4408581,4468087,4326296
Papua New Guinea,PNG,10142619,10329931,8975531
Paraguay,PRY,6780744,6861524,7147553
Peru,PER,34049588,34352719,33050211
Philippines,PHL,115559009,117337368,109830324
Poland,POL,37561599,41026067,37839255
Portugal,PRT,10379007,10247605,10191409
Puerto Rico,PRI,3221789,3260314,2846860
Qatar,QAT,2695122,2716391,2889284
Russia,RUS,143555736,144444359,145945524
Rwanda,RWA,13776698,14094683,13005303
Saint Kitts & Nevis,KNA,47657,47755,53264
Saint Lucia,LCA,179857,180251,183774
Saint Martin,MAF,31791,32077,38778
St. Vincent & Grenadines,VCT,103948,103698,111002
Samoa,WSM,222382,225681,198643
San Marino,SMR,33660,33642,33944
Sao Tome & Principe,STP,227380,231856,219844
Saudi Arabia,SAU,36408820,36947025,34905942
Senegal,SEN,17316449,17763163,16816539
Serbia,SRB,6760087,7149077,8731081
Seychelles,SYC,100060,107660,98453
Sierra Leone,SLE,8605718,8791092,8004158
Singapore,SGP,5637022,6014723,5858322
Slovakia,SVK,5431752,5795199,5460109
Slovenia,SVN,2108732,2119675,2078989
Solomon Islands,SLB,724273,740424,689671
Somalia,SOM,17597511,18143378,15965848
South Africa,ZAF,59893885,60414495,59436725
South Sudan,SSD,10913164,11088796,11216250
Spain,ESP,47615034,47519628,46757980
Sri Lanka,LKA,22181000,21893579,21428970
Sudan,SDN,46874204,48109006,44019263
Suriname,SUR,618040,623236,587541
Eswatini,SWZ,1201670,1210822,1162233
Sweden,SWE,10486941,10612086,10110233
Switzerland,CHE,8769741,8796669,8665615
Syria,SYR,22125249,23227014,17571053
Tajikistan,TJK,9952787,10143543,9573310
Tanzania,TZA,65497748,67438106,60012400
Thailand,THA,71697030,71801279,69830779
Timor-Leste,TLS,1341296,1360596,1322667
Togo,TGO,8848699,9053799,8310934
Tonga,TON,106858,107773,105901
Trinidad and Tobago,TTO,1531044,1534937,1400283
Tunisia,TUN,12356117,12458223,11839918
Turkey,TUR,85341241,85816199,84495243
Turkmenistan,TKM,6430770,6516100,6046292
Turks and Caicos,TCA,45703,46062,38806
Tuvalu,TUV,11312,11396,11817
Uganda,UGA,47249585,48582334,45974931
Ukraine,UKR,38000000,36744634,43686577
United Arab Emirates,ARE,9441129,9516871,9910892
United Kingdom,GBR,66971411,67736802,67948282
United States,USA,333287557,339996563,331341050
Uruguay,URY,3422794,3423108,3475842
Uzbekistan,UZB,35648100,35163944,33551824
Vanuatu,VUT,326740,334506,308337
Venezuela,VEN,28301696,28838499,28421581
Vietnam,VNM,98186856,98858950,97490013
British Virgin Islands,VGB,31305,31538,30266
U.S. Virgin Islands,VIR,105413,98750,104398
Yemen,YEM,33696614,34449825,29935468
Zambia,ZMB,20017675,20569737,18468257
Zimbabwe,ZWE,16320537,16665409,14899771
Democratic Republic of Congo,COD,99010212,102262808,90003954
Niue,NIU,1681,1935,1628
Palestine,PSE,5250072,5371230,5121112
Romania,ROU,19659267,19892812,19214608
Cook Islands,COK,17459,17044,17567
